INSERT INTO vuelos (id, origen, destino, fecha, hora_salida, hora_llegada, aerolinea, precio) VALUES
(0, 'Madrid', 'Barcelona', '2024-03-05', '08:00:00', '10:00:00', 'Iberia', 150.00),
(1, 'Barcelona', 'Sevilla', '2024-03-06', '09:30:00', '11:30:00', 'Vueling', 200.00),
(2, 'Sevilla', 'Valencia', '2024-03-07', '11:00:00', '13:00:00', 'Air Europa', 180.00),
(3, 'Valencia', 'Málaga', '2024-03-08', '10:00:00', '12:00:00', 'Iberia Express', 220.00),
(4, 'Málaga', 'Bilbao', '2024-03-09', '12:30:00', '14:30:00', 'Air Nostrum', 190.00),
(5, 'Bilbao', 'Alicante', '2024-03-10', '08:00:00', '10:00:00', 'Volotea', 160.00),
(6, 'Alicante', 'Granada', '2024-03-11', '09:30:00', '11:30:00', 'Iberia', 210.00),
(7, 'Granada', 'Palma de Mallorca', '2024-03-12', '11:00:00', '13:00:00', 'Air Europa', 230.00),
(8, 'Palma de Mallorca', 'Santiago de Compostela', '2024-03-13', '10:00:00', '12:00:00', 'Vueling', 240.00),
(9, 'Santiago de Compostela', 'Tenerife', '2024-03-14', '12:30:00', '14:30:00', 'Iberia Express', 270.00),
(10, 'Tenerife', 'Lanzarote', '2024-03-15', '08:00:00', '10:00:00', 'Air Nostrum', 250.00),
(11, 'Lanzarote', 'Ibiza', '2024-03-16', '09:30:00', '11:30:00', 'Volotea', 220.00),
(12, 'Ibiza', 'Fuerteventura', '2024-03-17', '11:00:00', '13:00:00', 'Iberia', 280.00),
(13, 'Fuerteventura', 'Menorca', '2024-03-18', '10:00:00', '12:00:00', 'Air Europa', 260.00),
(14, 'Menorca', 'La Palma', '2024-03-19', '12:30:00', '14:30:00', 'Vueling', 270.00),
(15, 'La Palma', 'Girona', '2024-03-20', '08:00:00', '10:00:00', 'Iberia Express', 230.00),
(16, 'Girona', 'Pamplona', '2024-03-21', '09:30:00', '11:30:00', 'Air Nostrum', 210.00),
(17, 'Pamplona', 'Zaragoza', '2024-03-22', '11:00:00', '13:00:00', 'Volotea', 200.00),
